token,Normalized token,Cantonese,Mandarin,English,Function
gayau,ga yau,加油,加油,keep it up,expression
garyau,ga yau,加油,加油,keep it up,expression
m,mm,唔,不,not,negation
can mm can,can mm can,得唔得,可不可以,can or not / is it okay,question phrase
mm,mm,唔,不,not,negation
duk,duk,得,可以,can,verb
duk mm duk,得唔得,can or not,question phrase
ho,ho,好 ,好 ,can / okay,modal
jeng,jeng,正,很棒,great / nice,adjective
siu sei,siu sei,笑死,笑死,so funny,expression
ho chi,ho chi,好似,好像,seem / look like,verb
yau,yau,有,有,have,verb
la,la,啦,啦,(final particle),particle
laa,la,啦,啦,(final particle),particle
lah,la,啦,啦,(final particle),particle
lo,lor,囉,囉,(obvious tone particle),particle
lor,lor,囉,囉,(obvious tone particle),particle
dou,dou,都,都,also,adverb
dou duk,dou duk,都得,都可以,also okay,phrase
cc,cc,看看,看一看,take a look,expression
wui,wui,會,會,will,modal
gah,gah,㗎,的（語氣）,"(final particle, emphasis)",particle
ga,gah,㗎,的（語氣）,"(final particle, emphasis)",particle
hea,hea,嘥 / hea,休息/混,chill lazily,verb
dor,dor,多,多,more,adjective
sin,sin,先,先,first / before,adverb
zip,zip,摺,摺,fold,verb
zip liba,zip liba,摺liba,留在圖書館溫書,study in the library,phrase
arm arm ,arm arm ,啱啱,剛剛,,
arm,arm,啱,對,correct / right,adjective
ah,ah,啊,啊,(sentence particle),particle
yuen loi,yuen loi,原來,原來,turns out,adverb
leng nui,leng nui,靚女,美女,pretty girl,noun
leng jai,leng jai,靚仔,帥哥,handsome guy,noun
gum,gum,咁,這樣,like this/ so / in this way,adverb
ging,,勁,厉害/超级,,
sldpk,,笑L到坡街,我操笑死我了,,profanity
jau,,就,就,,
sau pei,,收皮,完蛋/结束,,slang
lei,,來,来,,
diu,diu,diu,操,,profanity
sls,sls,笑撚死,笑死了,lol / dying laughing,expression
cls,cls,痴撚線,神經病 / 瘋了,crazy / insane,expression
dik,的,的,的,possessive particle,particle
hou,hou,好,好 ,good / okay,adjective
firm,,,,,slang
mah,mah,嗎,吗,(question particle),particle
baa,ba,吧,吧,suggestion particle,particle
duc,duk,得,可以,can / able to,verb
yurk,yurk,約,约,,adverb
chur,,,,,slang
nvm,nvm,無所謂,无所谓,never mind,expression
chut ,chut,出 ,出,,verb
chut lei,,出來,出来,come out,verb
hai,,係,是,is / to be,verb
joi,,再,再,again,adverb
gen hai la,,梗系啦,当然啦,,
gin ,,勁,,,
har,,吓,啊？,huh？,particle
mon,mon,屏幕,,,
mei,mei,未,没,not yet,adverb
chut moon,,出門,出门,go out,verb
jor,,,,,
daiga,,大家,大家,everyone,pronoun
lok che,,,完蛋了,,
ngo,,我,我,,
gua,,,,,particle
liu,,,,,particle
hoi sum d,,開心啲,开心点,be happier,expression
butlau,,,,,
da ,da,打,打,,verb
ju,zyu,住,着/住,,verb
jeh,ze,姐,而已,only,particle
L,,Leng,, ,profanity
gum l jeng ,,咁L讚,,,expression
horneng,hor neng,可能,可能,maybe,verb
guo,,過,过,,particle
mou,,冇,没有,not have,verb
gen,,梗,一定,surely/definitely,adverb
hou chi ,,好似,好像,,
mei,,未,没,,
mud 9,,,干什么（粗俗）,,profanity
ching,,,,,
jap,,jap,吃,,
mo,,冇,没有,,
jaijai,jai jai,仔仔,帅哥,,
minghin,ming hin,明顯,明显,,
tai,,太,太,,
mehsi,meh si,咩事,什么事,,
zhongyiu,,仲要,还要,,
jm9,,做乜,做什么,,
bei,bei,俾,给,,
piu,piu,漂,漂染,,
mk,mk,mk妹,时尚潮流的,,
ci,chi,似,好像,,
b4,before,之前,之前,,
horyi,ho yi,可以,可以,can / may,modal
tnt,tnt,今晚,今晚,,
pak,pak,拍,拍,take(photo) / clap,verb
fan,faan,返,回,go back / return,verb
ding,ding,頂,,,
yurk,yurk,約,,verb
