Sentence,Cantonese,Mandarin,English
can mm can late drop gah this course,可唔可以late drop呢個course㗎,这个课可以退掉吗？,
hea dor one week sin,hea多一個禮拜先,我再休息多一周,
let me cc later,我陣間睇,我待会儿看看,
wui have gah,會有㗎,会有的,
I bought jor disneyland card haha ,我買左迪士尼卡哈哈,我买了迪士尼卡哈哈,
mm ho gum la ,唔好咁啦,不要这样啦,
walk gen guo lei ,行梗過來,正在走过来,
ding gum on9,頂咁on9,操好sb,
me now reply kui dei,我宜家回覆佢地,我待会儿回复他们,
we yurk mm yurk ahh ,我地約唔約啊,我们约不约啊,
me dou duc geh,我都得嘅,我都可以的,
if u draw farn chut lei it shld look like this,如果你畫返出來就似咁,如果你画出来就像这样,
we yurk ma ,我地約嗎,我们约吗,
afternoon duc mm duc,下午得唔得,下午可不可以,
record har our daily ulife,記錄我地嘅大學生活,记录一下我们的大学生活,
now sin chut moon,宜家先出門,现在才出门,
nei hai 地面,你係地面？,你在地面吗？,
daiga gum ontime,大家咁準時,大家这么准时？,
now lok che,宜家落車,现在下车,
me can't liu,我唔得,我不行了,
u guys play duc hoi sum d,你地玩得開心啲,你们玩得开心点,
butlau dou mm duc,不嬲都唔得,通常都不行,
yurk ju sin ba,約住先吧,约着先吧,
diu nei mo watch guo that tv,屌你冇睇過個個tv,操你没有看过那个tv吗,
tmr 1400 hai tsing yi dou wait ding sai mm sai early goh 10 mins a,聽日2點青衣度等定使唔使早個10分鐘啊,明天2点在青衣等，要不要早10分钟啊,Should we get to Tsing Yi 10 minutes early for our 2pm meetup tomorrow?
cuz we book zhor 1400 start,因為我地預約左2點開始,因为我们预约了2点开始,Because we booked for a 2pm start
early 10 mins wui mm wui better,早10分鐘會唔會好點,早10分钟会不会好点,Would being 10 minutes early be better?
mm sai ask lei sak hui,唔使問來問去,不用问来问去,No need to keep asking back and forth
zihai now dim ,即係宜家點,現在就是怎麼樣,
cuz kui gohdou only 100,因為佢嗰度只有100,因为他那里只有100,Because they only have 100 there
mat yeh a,乜嘢啊,什么啊,
nei gong mat a,你讲乜啊,你说什么,
badaa nei sik zo faan mei aa,巴打，你食咗飯未呀？,兄弟，你吃饭了没？,"Brother, have you had lunch yet?"
sidaa nei sik zo faan mei aa,絲打，你食咗飯未呀？,姐妹，你吃饭了没？,"Sister, have you had lunch yet?"
ngo sap buk ni gin si,我十卜呢件事。,我支持这件事。,I support this.
ngo yiu zau sin la 88,我要走先啦，88。,我要先走了，拜拜。,"I need to leave first, bye."
ngo hai go WhatsApp group cim zo seoi hou noi,我喺個WhatsApp group潛咗水好耐。,我在这个WhatsApp群里潜水很久了。,I've been inactive (lurking) in this WhatsApp group for a long time.
kui dei gam wat gei jeng gang,佢地咁屈機，贏梗。,他们这么厉害，肯定赢。,"They're so overpowered, it's a sure win for them."
gam maan ngo tung ngo BF sik faan,今晚我同我BF食飯。,今晚我和我男朋友吃饭。,I'm having dinner with my boyfriend tonight.
ngo yat zan yiu heoi wan ngo GF,我一陣要去搵我GF。,我等一下要去找我女朋友。,I need to go find my girlfriend in a bit.
nei m hou FF gam do,你唔好FF咁多。,你别幻想那么多。,Don't fantasize so much.
ni go neoi zai zan hai GF able,呢個女仔真係GF-able。,这个女生真的适合当女朋友。,This girl is totally girlfriend material.
teng dou daan san man ngo O zo zeoi,聽到單新聞我O咗嘴。,听到这个新闻我目瞪口呆。,I was shook (jaw-dropped) when I heard the news.
ngo m gei dak ngo yeuk zo GF gam ci GG la,我唔記得我約咗GF，今次GG喇。,我忘了跟女朋友有约，这次完蛋了。,"I forgot I had a date with my girlfriend, I'm so screwed this time."
nei ho m ho yi DM di sai zit bei ngo aa,你可唔可以DM啲細節俾我呀？,你可不可以私信我细节？,Can you DM me the details?
hor yee sik farn lah,可以食飯喇,可以吃饭了,We can eat now.
nei ho nei yee gar jo gun mut yea ar,你好，你而家做緊乜嘢呀？,你好，你现在在做什么呀？,"Hey, what are you doing right now?"
ho derr,好的,好的,Okay / alright
directly restaurant wait or mtr wait,直接係餐廳或者mtr等？,直接在餐厅还是在地铁站等？,Should we wait directly at the restaurant or at the MTR station?
hai kt where ga,在啟德哪裡的？,在启德哪里？,Where in Kai Tak?
tmr hai mai din,聽日係咪一起食晚餐？,明天是不是一起吃晚餐？,Are we having dinner together tomorrow?
ngo directly help u bei ju 100 sin la,我直接幫你俾住100蚊先啦,我直接先帮你付100块钱吧,I'll just pay the 100 dollars for you first.
