token,Normalized token,Cantonese,Mandarin,English,Function
gayau,ga yau,加油,加油,keep it up,expression
garyau,ga yau,加油,加油,keep it up,expression
m,mm,唔,不,not,negation
can mm can,can mm can,得唔得,可不可以,can or not / is it okay,question phrase
mm,mm,唔,不,not,negation
duk,duk,得,可以,can,verb
ho,ho,好 ,好 ,can / okay,modal
jeng,jeng,正,很棒,great / nice,adjective
siu sei,siu sei,笑死,笑死,so funny,expression
ho chi,ho chi,好似,好像,seem / look like,verb
yau,yau,有,有,have,verb
la,la,啦,啦,(final particle),particle
laa,la,啦,啦,(final particle),particle
lah,la,啦,啦,(final particle),particle
lo,lor,囉,囉,(obvious tone particle),particle
lor,lor,囉,囉,(obvious tone particle),particle
dou,dou,都,都,also,adverb
dou duk,dou duk,都得,都可以,also okay,phrase
cc,cc,看看,看一看,take a look,expression
wui,wui,會,會,will,modal
gah,gah,㗎,的（語氣）,"(final particle, emphasis)",particle
ga,gah,㗎,的（語氣）,"(final particle, emphasis)",particle
hea,hea,嘥 / hea,休息/混,chill lazily,verb
dor,dor,多,多,more,adjective
sin,sin,先,先,first / before,adverb
zip,zip,摺,摺,fold,verb
zip liba,zip liba,摺liba,留在圖書館溫書,study in the library,phrase
arm,arm,啱,對,correct / right,adjective
ah,ah,啊,啊,(sentence particle),particle
yuen loi,yuen loi,原來,原來,turns out,adverb
leng nui,leng nui,靚女,美女,pretty girl,noun
leng jai,leng jai,靚仔,帥哥,handsome guy,noun
gum,gum,咁,這樣,like this/ so / in this way,adverb
